pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
B1fyfEwio-,4-20200812091531008,4,20200812T091531,142842,4-20200812091531008,20200812T091531,20220812T091531,2,Sfilab13,55,4-20200812091531008
B1fyfEwio-,4-20200812091009830,4,20200812T091009,142841,4-20200812091009829,20200812T091009,20220812T091009,2,Sfilab13,53,4-20200812091009830
B1fyfEwio-,4-20200812090534666,4,20200812T090534,142840,4-20200812090534666,20200812T090534,20220812T090534,2,Sfilab13,52,4-20200812090534666
B1fyfEwio-,4-20200812090016157,4,20200812T090016,142839,4-20200812090016157,20200812T090016,20220812T090016,2,Sfilab13,53,4-20200812090016157
B1fyfEwio-,4-20200812085458298,4,20200812T085458,142838,4-20200812085458298,20200812T085458,20220812T085458,2,Sfilab13,54,4-20200812085458298
B1fyfEwio-,4-20200812085020815,4,20200812T085020,142837,4-20200812085020815,20200812T085020,20220812T085020,2,Sfilab13,54,4-20200812085020815
B1fyfEwio-,4-20200812084502649,4,20200812T084502,142836,4-20200812084502648,20200812T084502,20220812T084502,2,Sfilab13,54,4-20200812084502649
B1fyfEwio-,4-20200812083938447,4,20200812T083938,142835,4-20200812083938446,20200812T083938,20220812T083938,2,Sfilab13,54,4-20200812083938447
B1fyfEwio-,4-20200812083505065,4,20200812T083505,142834,4-20200812083505065,20200812T083505,20220812T083505,2,Sfilab13,54,4-20200812083505065
B1fyfEwio-,4-20200812083016055,4,20200812T083016,142833,4-20200812083016055,20200812T083016,20220812T083016,2,Sfilab13,54,4-20200812083016055
B1fyfEwio-,4-20200812082947108,4,20200812T082947,142832,4-20200812082947108,20200812T082947,20220812T082947,2,Sfilab13,54,4-20200812082947108
B1fyfEwio-,4-20200812082425924,4,20200812T082425,142831,4-20200812082425924,20200812T082425,20220812T082425,2,Sfilab13,53,4-20200812082425924
B1fyfEwio-,4-20200812081951033,4,20200812T081951,142830,4-20200812081951033,20200812T081951,20220812T081951,2,Sfilab13,54,4-20200812081951033
B1fyfEwio-,4-20200812081432586,4,20200812T081432,142829,4-20200812081432586,20200812T081432,20220812T081432,2,Sfilab13,53,4-20200812081432586
B1fyfEwio-,4-20200812080912510,4,20200812T080912,142828,4-20200812080912510,20200812T080912,20220812T080912,2,Sfilab13,53,4-20200812080912510
B1fyfEwio-,4-20200812080433501,4,20200812T080433,142827,4-20200812080433500,20200812T080433,20220812T080433,2,Sfilab13,52,4-20200812080433501
B1fyfEwio-,4-20200812075909990,4,20200812T075909,142826,4-20200812075909990,20200812T075909,20220812T075909,2,Sfilab13,53,4-20200812075909990
B1fyfEwio-,4-20200812075350978,4,20200812T075350,142825,4-20200812075350978,20200812T075350,20220812T075350,2,Sfilab13,52,4-20200812075350978
B1fyfEwio-,4-20200812074919037,4,20200812T074919,142824,4-20200812074919037,20200812T074919,20220812T074919,2,Sfilab13,53,4-20200812074919037
B1fyfEwio-,4-20200812074401857,4,20200812T074401,142823,4-20200812074401857,20200812T074401,20220812T074401,2,Sfilab13,53,4-20200812074401857
B1fyfEwio-,4-20200812073837672,4,20200812T073837,142822,4-20200812073837672,20200812T073837,20220812T073837,2,Sfilab13,51,4-20200812073837672
B1fyfEwio-,4-20200812073403864,4,20200812T073403,142821,4-20200812073403863,20200812T073403,20220812T073403,2,Sfilab13,51,4-20200812073403864
B1fyfEwio-,4-20200812072848944,4,20200812T072848,142820,4-20200812072848944,20200812T072848,20220812T072848,2,Sfilab13,50,4-20200812072848944
B1fyfEwio-,4-20200812072325931,4,20200812T072325,142819,4-20200812072325930,20200812T072325,20220812T072325,2,Sfilab13,51,4-20200812072325931
B1fyfEwio-,4-20200812071853998,4,20200812T071853,142818,4-20200812071853998,20200812T071853,20220812T071853,2,Sfilab13,52,4-20200812071853998
B1fyfEwio-,4-20200812071338803,4,20200812T071338,142817,4-20200812071338803,20200812T071338,20220812T071338,2,Sfilab13,51,4-20200812071338803
B1fyfEwio-,4-20200812070907661,4,20200812T070907,142816,4-20200812070907659,20200812T070907,20220812T070907,2,Sfilab13,51,4-20200812070907661
B1fyfEwio-,4-20200812070431492,4,20200812T070431,142815,4-20200812070431491,20200812T070431,20220812T070431,2,Sfilab13,52,4-20200812070431492
B1fyfEwio-,4-20200812065915316,4,20200812T065915,142814,4-20200812065915316,20200812T065915,20220812T065915,2,Sfilab13,52,4-20200812065915316
B1fyfEwio-,4-20200812065356148,4,20200812T065356,142813,4-20200812065356148,20200812T065356,20220812T065356,2,Sfilab13,51,4-20200812065356148
B1fyfEwio-,4-20200812064919842,4,20200812T064919,142812,4-20200812064919841,20200812T064919,20220812T064919,2,Sfilab13,52,4-20200812064919842
