pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
H1MGbVvjjb,4-20200812093210169,4,20200812T093210,74611,4-20200812093210168,20200812T093210,20220812T093210,5,Sfilab05,19.70,4-20200812093210169
H1MGbVvjjb,4-20200812092702193,4,20200812T092702,74610,4-20200812092702192,20200812T092702,20220812T092702,5,Sfilab05,19.60,4-20200812092702193
H1MGbVvjjb,4-20200812092157835,4,20200812T092157,74609,4-20200812092157835,20200812T092157,20220812T092157,5,Sfilab05,19.60,4-20200812092157835
H1MGbVvjjb,4-20200812091650263,4,20200812T091650,74608,4-20200812091650263,20200812T091650,20220812T091650,5,Sfilab05,19.50,4-20200812091650263
H1MGbVvjjb,4-20200812091147291,4,20200812T091147,74607,4-20200812091147291,20200812T091147,20220812T091147,5,Sfilab05,19.50,4-20200812091147291
H1MGbVvjjb,4-20200812090641336,4,20200812T090641,74606,4-20200812090641336,20200812T090641,20220812T090641,5,Sfilab05,19.40,4-20200812090641336
H1MGbVvjjb,4-20200812090136357,4,20200812T090136,74605,4-20200812090136357,20200812T090136,20220812T090136,5,Sfilab05,19.50,4-20200812090136357
H1MGbVvjjb,4-20200812085627392,4,20200812T085627,74604,4-20200812085627392,20200812T085627,20220812T085627,5,Sfilab05,19.40,4-20200812085627392
H1MGbVvjjb,4-20200812085118425,4,20200812T085118,74603,4-20200812085118425,20200812T085118,20220812T085118,5,Sfilab05,19.40,4-20200812085118425
H1MGbVvjjb,4-20200812084618458,4,20200812T084618,74602,4-20200812084618457,20200812T084618,20220812T084618,5,Sfilab05,19.50,4-20200812084618458
H1MGbVvjjb,4-20200812084113493,4,20200812T084113,74601,4-20200812084113493,20200812T084113,20220812T084113,5,Sfilab05,19.50,4-20200812084113493
H1MGbVvjjb,4-20200812083604529,4,20200812T083604,74600,4-20200812083604529,20200812T083604,20220812T083604,5,Sfilab05,19.40,4-20200812083604529
H1MGbVvjjb,4-20200812083058590,4,20200812T083058,74599,4-20200812083058588,20200812T083058,20220812T083058,5,Sfilab05,19.30,4-20200812083058590
H1MGbVvjjb,4-20200812082558101,4,20200812T082558,74598,4-20200812082558101,20200812T082558,20220812T082558,5,Sfilab05,19.40,4-20200812082558101
H1MGbVvjjb,4-20200812082056599,4,20200812T082056,74597,4-20200812082056599,20200812T082056,20220812T082056,5,Sfilab05,19.60,4-20200812082056599
H1MGbVvjjb,4-20200812081549661,4,20200812T081549,74596,4-20200812081549661,20200812T081549,20220812T081549,5,Sfilab05,19.70,4-20200812081549661
H1MGbVvjjb,4-20200812081050567,4,20200812T081050,74595,4-20200812081050566,20200812T081050,20220812T081050,5,Sfilab05,19.80,4-20200812081050567
H1MGbVvjjb,4-20200812080547556,4,20200812T080547,74594,4-20200812080547556,20200812T080547,20220812T080547,5,Sfilab05,19.70,4-20200812080547556
H1MGbVvjjb,4-20200812080045536,4,20200812T080045,74593,4-20200812080045535,20200812T080045,20220812T080045,5,Sfilab05,19.70,4-20200812080045536
